,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
22,7278.18,6231.97,4892.01,7137.84,7352.76,6565.86,4344.05,7082.89,7453.38,6001.01,5972.75,6396.72,5474.95,5710.46,7296.15,7266.2,4820.0,6365.58,7211.79,5525.65,5944.22,7372.67,6106.49,6876.97,7770.02,7002.31,7775.41,8449.36,5624.34,4288.11,3754.07,4850.91,8232.55,6267.43,8062.95,8819.32,4426.0,6204.87,6701.33,5861.49,5547.15,6456.24,7229.09,6719.97,7838.84,5632.94,5810.71,6159.19,6576.79,7586.62,7197.22,6755.38,6179.59,7812.61,8360.29,6541.48,5352.9,7170.06,6931.89,5946.91,7182.28,5688.1,6722.06,6984.74,6654.39,5638.68,6368.96,6802.86,5909.38,5657.04,6268.99,6814.98,5663.2,4562.97,6604.49,6764.83,5755.39,5975.89,6484.07,7759.04
23,7443.77,6366.01,5414.26,7495.15,7824.58,6788.71,4866.65,7537.91,7833.36,6114.56,6288.43,6446.96,5757.57,5743.51,7602.21,7260.97,4949.99,6534.78,7290.41,5304.18,6457.68,7653.51,6616.18,7555.6,8194.74,7459.89,8254.94,8771.71,6142.64,4269.27,3293.13,4976.23,8690.37,6597.9,8349.67,8955.89,4639.93,6300.12,6826.93,5904.08,5468.9,6787.56,7622.78,7162.33,8264.09,6094.05,6004.82,6411.12,7059.62,7864.51,7725.78,7331.55,6558.93,8473.25,8728.54,6925.51,5632.42,7592.27,7442.34,6375.3,7530.76,6224.4,7150.86,7139.04,6901.81,5942.54,6836.66,7155.44,5861.79,6341.24,6997.51,7240.28,5523.08,4531.76,6785.37,7292.18,6012.41,6356.87,7041.63,7921.32
24,7869.36,6965.59,5779.74,7923.47,8360.85,6852.55,5360.54,7827.89,7924.45,6538.5,6565.27,6659.51,6276.79,6121.7,7744.14,7358.77,5551.69,6772.8,7488.52,5828.02,6724.21,8033.68,7114.83,8146.75,8589.29,7677.8,8552.4,9692.21,6501.43,4680.68,3518.0,5461.57,9461.27,6865.74,9080.17,9501.53,5046.55,6466.21,7055.58,6191.57,5862.27,7481.56,8144.74,7649.26,8860.8,6394.92,6194.09,6760.64,7488.47,8743.98,8264.0,7642.57,7004.11,8892.54,8745.61,7031.29,6013.86,8160.2,7565.33,6975.13,7496.62,6734.36,7634.33,7584.71,7282.14,6441.22,7074.89,7099.4,6070.11,6852.89,7555.38,7551.63,5866.87,5193.63,7693.39,7489.11,6044.53,6873.53,7520.04,8156.03
25,8240.82,7221.19,5917.38,8582.22,8599.39,6929.77,5459.56,7901.35,7937.79,6958.89,6809.32,6718.74,6667.51,6340.83,7939.58,7243.0,6046.84,7115.47,7163.09,6095.12,7188.55,8700.87,7459.36,8529.65,8913.95,8140.53,8754.36,10048.07,7224.37,5356.24,3789.05,5093.14,10488.11,6954.09,9918.42,10098.54,5225.21,6710.5,7313.83,6098.09,5984.97,8252.87,8399.27,8218.96,9189.15,6953.58,6182.36,6802.61,7957.94,9405.23,8425.47,7856.13,7472.6,9505.85,9106.33,7014.99,6332.52,8328.76,7558.4,7566.35,7919.71,7120.86,8026.2,7936.26,7524.8,6966.05,7037.82,7356.88,6142.79,7422.87,7993.41,7567.0,5990.38,6057.31,8300.23,7580.86,6258.16,7073.13,8136.21,8173.06
26,8553.64,7227.96,6199.82,9134.77,8683.9,6525.65,5998.28,8318.74,8446.09,7179.36,7317.39,6892.34,6843.52,6816.11,8221.6,7790.01,6240.5,7657.09,7998.67,6245.22,7780.7,9161.56,7625.31,8612.51,8604.81,8580.26,9546.42,10534.44,7807.22,5763.85,4107.77,5384.97,10248.04,6801.82,10439.04,10397.59,5170.04,7003.95,7577.58,6447.1,5962.49,8868.31,8953.97,8520.45,9211.63,6963.89,6580.2,7182.58,8345.26,9573.12,8764.94,8208.14,7946.45,9738.22,10055.75,7407.5,6766.45,8844.62,7749.5,8107.02,8222.65,7387.86,8472.85,8238.88,7499.4,7431.26,7199.08,7486.2,6546.44,7915.21,8484.53,7736.79,6551.16,6645.99,8643.72,7851.68,6550.21,7519.26,7676.05,8796.63
27,9157.65,7223.55,6661.78,9323.25,8864.54,6860.43,6641.48,9010.25,8544.14,7453.29,7859.67,7191.18,6980.31,7655.02,8440.06,7986.81,6500.35,8239.08,8247.79,6586.18,8583.44,9150.56,7759.67,8833.83,8671.64,9109.19,10473.77,10777.2,8620.83,5492.28,3371.35,6291.53,10734.44,7635.83,10759.48,10075.74,5257.36,6391.04,7963.7,6551.17,6021.92,9487.66,9108.32,9049.39,10126.78,7001.11,7413.46,7487.99,8910.35,10036.46,9057.98,8104.97,8585.08,10393.05,10483.71,7884.81,7103.97,9295.87,8151.16,8626.1,8248.09,8043.5,8895.79,8646.34,8032.06,7859.35,8045.32,7937.31,6634.4,8490.35,8869.57,7881.36,6498.31,7023.33,9016.15,8030.15,7153.28,7982.85,7858.89,9188.45
28,9439.88,7380.95,6819.32,9155.7,8926.81,6919.03,7320.17,9627.49,8708.09,7926.27,8158.94,7296.57,7333.36,7779.23,8944.29,8028.94,7038.72,9145.42,8032.56,7108.11,9244.61,9026.5,8048.16,9441.42,9049.62,9745.61,11116.76,11250.46,8394.42,5240.54,3235.0,8482.74,9931.03,8561.53,10482.96,9930.72,5616.26,6938.02,7144.62,6718.02,6412.23,10186.56,9589.19,9710.71,10455.39,7177.66,8096.06,7748.9,9542.83,10375.9,9375.47,8463.29,9249.82,10659.63,10454.63,8498.1,7640.21,9739.44,8373.65,9013.29,7912.28,8506.92,9282.58,9075.73,7892.21,8301.26,8532.7,8500.2,6138.02,8668.41,9073.8,7947.33,6590.54,7786.49,9255.7,8310.59,7835.31,8102.05,8541.52,9310.86
29,9688.95,7262.57,7134.66,9570.66,9352.32,6994.6,7639.28,10112.31,8588.12,8398.38,8468.62,7227.31,7605.56,8180.71,9349.24,8519.9,7373.77,9718.62,8207.82,6836.93,9475.61,8994.96,8522.98,9933.3,9809.39,10190.57,10873.61,11778.81,7825.48,5367.43,3076.44,10291.2,10379.37,9203.53,11249.42,9867.65,6061.59,7368.92,6822.04,7277.96,7067.53,10688.36,10369.26,10203.13,10694.03,7743.78,8753.09,7631.89,10029.11,10529.55,9961.92,8467.62,9640.29,11604.32,10701.89,8943.9,8130.64,9953.95,8992.56,9188.2,7255.61,8801.02,9524.3,8930.45,8121.69,8491.37,9066.18,8340.1,6395.53,8800.98,9396.96,8059.21,6896.75,8293.96,9616.32,8662.7,8164.58,8578.61,9418.92,9667.63
30,10220.67,7221.77,7746.56,10184.18,9411.31,7578.5,8238.74,10571.94,8453.79,8672.28,8788.69,7639.7,7482.08,8461.37,9534.23,8603.98,7761.73,10366.62,8517.69,7132.71,9865.94,9007.7,9248.89,10535.76,10551.83,10739.44,11270.07,13160.2,7958.28,5857.98,3552.95,11457.01,10192.28,10007.27,12241.94,10787.12,7626.5,7860.13,7370.09,7981.33,7660.74,11233.06,10964.01,10300.87,10690.31,8553.48,8852.2,8399.06,9616.52,11057.72,10579.47,8908.61,10355.44,12785.0,11606.1,9432.39,8662.8,10660.47,9064.51,9460.67,7734.61,8965.36,10186.77,9215.05,8398.31,8940.63,9345.81,8253.77,6705.0,9034.04,9623.35,8434.92,6360.82,8605.65,10154.3,9052.01,8434.23,8978.88,10173.61,9742.88
31,10808.84,7287.46,8323.78,10878.47,10433.92,7301.6,8913.95,11146.68,8978.2,8557.52,9308.09,8163.07,7793.43,9144.16,9928.67,8671.58,8164.32,9978.63,8497.26,7361.8,10568.54,9377.58,9896.05,11002.74,11300.66,11642.58,11958.23,14233.96,8159.6,5980.1,5778.31,11188.73,10100.92,11010.35,12804.88,11218.66,7982.93,8048.86,7846.18,8262.31,7937.25,10988.07,11121.0,10650.48,10788.03,8691.5,8900.79,9033.32,10545.86,11891.05,10949.15,9265.27,10883.77,13021.25,11847.58,9203.69,9298.97,10900.77,9478.26,10108.61,8250.97,9519.79,10334.06,9690.71,8174.4,9385.85,9435.32,8504.6,7206.31,9168.07,10272.12,8567.89,6386.8,8261.27,10371.12,9133.9,9344.87,9716.0,10813.34,10097.9
32,11143.15,7413.42,9010.01,11222.87,11072.68,7531.84,9126.72,11472.72,9355.18,8390.17,9670.32,8556.86,8106.25,9807.33,10666.54,8575.89,8449.54,10465.94,9131.33,7870.5,11175.22,9763.61,10122.69,11586.02,11800.12,12637.74,13132.63,15123.66,8463.23,5360.34,6674.64,11408.19,10168.33,11558.97,13269.41,9917.05,7920.23,9241.16,8505.4,8610.09,8346.16,11549.37,11256.86,11707.2,9473.34,8773.11,9113.73,9481.25,11264.4,12544.42,11099.84,9149.88,11463.24,13935.08,11749.46,9125.37,9854.89,10763.04,9488.56,10327.59,8475.48,10077.54,10817.31,10323.38,8177.76,9820.27,10050.21,8834.6,7952.59,9677.22,10419.8,9018.98,5997.32,8463.47,10905.03,9298.8,9658.11,10144.34,11401.57,9515.41
33,11093.26,7474.01,9862.1,11693.42,11045.86,6999.24,9555.13,11834.64,10113.29,8753.45,9965.07,8594.35,8419.7,10680.27,11329.37,8434.21,9148.31,11339.7,9468.16,8303.05,11753.91,9945.11,10314.23,12301.15,11855.12,12763.15,13723.16,13813.57,7574.67,4920.27,6033.99,10591.14,10568.88,12186.95,14296.49,8762.72,9140.43,9648.29,8907.88,8581.03,9303.01,11765.11,11862.72,12521.13,9566.76,9321.39,9687.28,10062.02,12083.02,12820.76,11191.66,9754.52,12055.57,13540.95,11909.37,8847.94,10570.31,11057.63,9600.47,10744.93,8501.39,10404.38,11310.57,10862.58,8404.95,10105.07,10605.19,9231.86,8431.46,9767.09,10739.54,9686.92,6420.34,9171.09,10834.09,9364.37,9658.55,10071.55,12063.25,9958.6
