,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
0,250.33,253.96,253.0,256.71,252.45,253.09,254.68,246.83,255.73,250.81,247.74,253.45,250.55,249.4,255.56,252.65,248.44,247.51,258.01,249.68,249.26,256.04,250.28,252.16,254.52,255.57,252.29,249.51,250.85,259.61,252.15,254.14,248.31,255.29,257.47,250.29,257.18,254.16,253.56,248.37,249.52,250.44,252.68,257.74,254.29,253.97,255.21,250.9,248.59,251.64,252.81,259.51,254.44,250.97,253.43,252.52,246.94,247.64,252.77,255.4,248.31,256.83,245.77,255.23,254.28,253.65,252.65,255.27,250.24,245.35,249.71,255.43,255.83,251.63,252.48,261.01,262.31,249.68,246.07,255.63,254.72,250.84,244.96,255.48,252.74,256.58,251.5,258.73,255.83,254.97
1,505.87,511.52,506.27,506.31,496.92,515.3,503.97,490.29,497.91,494.87,490.17,509.19,499.74,492.02,510.41,500.76,496.32,485.06,517.86,502.33,480.35,506.07,507.31,514.42,507.16,509.11,503.96,505.59,499.01,512.1,519.09,524.87,497.96,476.54,527.61,493.82,522.86,512.67,498.79,497.3,498.88,485.86,496.11,524.21,503.64,513.43,506.77,511.58,487.46,493.12,508.96,520.49,501.01,499.05,510.13,511.97,499.48,488.06,504.73,502.67,489.97,518.49,501.0,509.77,508.59,506.7,502.26,515.39,490.45,495.74,492.91,516.93,512.11,494.4,497.34,540.16,524.46,494.91,494.82,504.31,517.93,495.46,492.73,512.65,491.91,523.31,517.2,526.59,515.66,514.91
2,760.7,777.22,758.57,743.27,747.92,778.22,746.53,706.54,765.67,752.03,751.3,757.04,762.84,737.55,755.67,762.9,747.39,748.78,763.39,766.7,758.06,749.45,774.3,773.25,752.39,751.39,730.48,763.55,771.03,770.76,785.88,784.84,752.37,727.92,758.88,722.34,782.92,763.97,726.39,748.59,748.49,740.04,728.41,790.41,766.12,764.91,746.86,747.65,744.53,748.63,764.27,766.19,754.05,752.92,770.21,760.68,776.93,744.58,764.37,764.15,737.03,782.66,753.2,760.25,767.52,758.99,738.97,776.71,736.24,740.35,752.11,779.43,773.81,741.27,766.16,812.65,779.7,746.63,747.77,765.45,737.27,764.28,736.54,780.33,746.93,774.73,793.34,796.04,780.48,766.88
3,1019.69,1073.97,1028.45,975.88,1013.21,1024.46,992.4,961.62,1046.94,1027.46,992.34,1008.14,1032.1,990.47,997.1,1054.86,995.26,995.09,1013.31,1037.96,1008.02,1005.91,1059.79,1008.64,994.52,999.38,970.17,1029.14,1056.57,1020.31,1072.54,987.35,886.8,1031.99,1019.96,1010.29,1035.88,985.83,960.31,938.27,1005.9,977.75,962.1,1061.29,1009.87,1030.29,1030.92,981.75,1035.29,1000.97,1031.92,1026.46,1005.58,981.12,1043.67,1030.77,1035.67,1008.65,1019.74,1025.45,996.13,1049.41,989.76,1036.85,1027.7,1018.33,1006.77,1038.73,1025.25,1003.67,991.17,1050.86,1032.65,985.83,994.3,1073.95,1038.25,993.42,1024.44,1031.16,985.97,1026.13,1017.91,1056.23,1004.28,1034.42,1060.81,1044.48,1029.15,1038.62
4,1242.61,1292.38,1280.25,1217.79,1253.8,1246.04,1229.48,1195.3,1337.62,1302.95,1236.19,1275.92,1285.76,1228.28,1255.43,1293.65,1263.11,1229.23,1289.72,1338.87,1223.76,1280.43,1341.28,1233.55,1247.04,1273.58,1228.29,1305.54,1331.23,1283.3,1284.64,1182.79,1079.98,1474.58,1208.03,1313.5,1253.89,1211.89,1219.88,1211.94,1172.61,1218.57,1223.41,1341.88,1274.52,1308.19,1285.08,1224.2,1321.03,1250.34,1308.11,1281.17,1259.27,1238.17,1323.82,1281.27,1268.23,1286.34,1293.66,1288.8,1244.19,1309.52,1197.6,1303.51,1287.51,1281.3,1227.58,1304.51,1294.49,1278.54,1176.81,1296.49,1280.53,1223.62,1231.36,1374.12,1289.52,1247.31,1313.59,1273.28,1270.93,1272.84,1278.15,1340.92,1259.38,1307.44,1317.86,1299.86,1269.47,1319.87
5,1474.7,1625.0,1529.75,1432.7,1509.75,1508.86,1493.12,1427.97,1594.35,1571.87,1455.92,1546.52,1541.07,1447.52,1507.33,1558.1,1525.78,1500.09,1548.35,1617.7,1467.67,1475.29,1589.5,1461.57,1516.81,1542.59,1517.66,1570.75,1545.26,1552.25,1460.14,1416.15,1259.76,1896.55,1471.39,1598.5,1539.44,1439.39,1491.64,1478.29,1369.11,1498.56,1515.44,1611.18,1565.15,1576.78,1533.44,1503.38,1609.47,1464.4,1576.37,1523.19,1534.86,1466.74,1584.82,1580.33,1517.72,1553.61,1566.69,1536.47,1525.85,1552.98,1370.81,1557.42,1537.09,1498.74,1476.25,1549.44,1570.89,1494.17,1429.56,1537.74,1538.08,1463.49,1489.03,1653.63,1551.13,1508.09,1573.83,1546.75,1578.29,1537.44,1496.89,1611.87,1503.93,1583.33,1597.7,1590.31,1570.11,1602.13
6,1729.65,1813.35,1804.94,1651.05,1801.84,1791.24,1725.97,1714.15,1886.21,1841.01,1670.19,1798.88,1798.4,1715.09,1715.55,1811.26,1769.86,1733.7,1814.61,1907.46,1724.2,1730.65,1853.49,1690.55,1814.61,1824.13,1810.9,1847.32,1807.32,1889.01,1697.55,1698.29,1549.66,2255.43,1686.55,1904.21,1847.65,1742.46,1919.11,1753.54,1648.55,1799.07,1805.2,1886.73,1844.63,1811.95,1761.67,1813.03,1841.53,1767.6,1763.88,1795.48,1816.7,1734.25,1878.53,1904.62,1820.54,1827.5,1847.36,1827.53,1758.79,1805.3,1643.41,1798.77,1825.63,1752.4,1729.76,1821.13,1825.1,1712.86,1688.78,1788.24,1787.78,1728.42,1648.25,1913.57,1830.8,1774.19,1829.16,1815.69,1881.59,1779.92,1758.83,1876.78,1755.77,1861.62,1835.55,1875.89,1823.66,1884.59
7,1998.65,2083.65,2088.58,1878.42,2093.81,2085.23,2053.24,1899.48,2192.14,2123.69,1949.08,2006.42,2079.58,1998.18,1973.15,2113.41,2035.08,1963.85,2084.6,2089.43,1945.43,1977.87,2152.8,1953.0,2108.7,2095.75,2109.43,2161.9,2097.44,2208.8,1941.47,1927.32,2206.5,2438.31,1905.94,2237.49,2124.55,2008.3,2182.81,1994.33,1923.26,2051.02,2057.0,2087.02,2084.66,2070.83,1996.8,2048.03,2065.99,2061.0,2082.02,2098.5,2077.75,1994.89,2156.88,2153.3,2069.92,2024.91,2144.08,2077.56,2026.49,2098.48,1923.05,2083.24,2065.83,2026.64,1928.13,2094.84,2058.91,1965.52,1974.59,2028.03,2081.33,1968.73,1871.65,2090.55,2081.11,2009.2,2163.09,2124.96,2179.16,2050.3,2027.19,2110.18,2105.3,2100.16,2115.55,2204.19,2063.22,2193.21
8,2229.14,2334.12,2347.74,2111.4,2404.51,2345.51,2345.95,2146.56,2436.42,2382.47,2214.07,2203.58,2344.06,2267.36,2231.72,2417.42,2340.56,2172.57,2339.77,2368.34,2242.88,2265.08,2445.04,2218.52,2355.96,2381.83,2385.91,2491.82,2439.51,2517.75,2197.76,2030.72,2595.6,2683.36,2137.72,2522.55,2394.59,2105.64,2381.52,2368.76,2223.97,2312.57,2328.02,2369.57,2321.73,2407.75,2087.93,2274.53,2309.62,2334.5,2382.88,2388.34,2316.56,2201.47,2443.5,2466.77,2286.19,2235.76,2434.27,2287.76,2248.84,2345.41,2170.33,2371.33,2342.61,2321.24,2149.33,2369.43,2354.59,2228.73,2298.96,2311.64,2322.99,2246.5,2032.0,2338.12,2366.71,2252.78,2425.72,2402.17,2475.65,2221.72,2421.61,2410.6,2383.7,2337.49,2342.6,2423.67,2343.77,2456.65
9,2530.77,2576.59,2562.78,2333.78,2744.32,2621.45,2563.81,2282.7,2713.2,2646.27,2527.87,2469.43,2600.83,2487.63,2491.37,2754.49,2641.38,2371.86,2658.42,2698.3,2505.83,2543.39,2737.06,2461.08,2598.75,2686.08,2613.89,2727.66,2726.38,2615.97,2292.73,2154.44,2639.77,2779.9,2403.82,2820.05,2723.71,2203.68,2792.61,2639.45,2493.24,2519.58,2684.77,2614.86,2611.51,2722.72,2319.62,2564.74,2602.9,2627.82,2699.54,2640.84,2547.89,2495.4,2734.39,2650.75,2527.18,2417.72,2749.76,2544.47,2482.0,2617.07,2391.21,2632.12,2622.8,2608.02,2397.91,2626.24,2646.3,2502.08,2587.86,2543.76,2585.01,2554.82,2313.58,2661.0,2582.95,2483.58,2646.08,2617.2,2785.21,2507.71,2803.44,2681.49,2641.08,2617.39,2599.03,2519.68,2652.34,2718.99
